Zone,Code zone,Kcal_vegetaux,Kcal_animaux,Population_milliers,SousAlimentation_millions,Disponibilite_calorique_totale_kcal,Population_totale,Taux_sousnutrition_pct,Part_animaux_pct,Part_vegetaux_pct
République dominicaine,56,2224.0,387.0,10404,1.3,2611.0,10404000,12.49519415609381,14.821907315204902,85.17809268479509
République démocratique populaire lao,120,2236.0,219.0,6770,1.2,2455.0,6770000,17.725258493353028,8.920570264765784,91.07942973523421
République populaire démocratique de Corée,116,1963.0,130.0,24895,10.6,2093.0,24895000,42.57883109058044,6.211180124223603,93.7888198757764
République-Unie de Tanzanie,215,2060.0,144.0,49253,16.4,2204.0,49253000,33.29746411386108,6.533575317604355,93.46642468239564
Serbie,272,2025.0,700.0,9511,0.5,2725.0,9511000,5.257070760172431,25.688073394495415,74.31192660550458
Sierra Leone,197,2271.0,130.0,6092,1.6,2401.0,6092000,26.263952724885097,5.414410662224074,94.58558933777593
Slovaquie,199,2178.0,765.0,5450,0.2,2943.0,5450000,3.669724770642202,25.993883792048926,74.00611620795107
Soudan,276,1824.0,511.0,37964,8.3,2335.0,37964000,21.862817405963547,21.884368308351178,78.11563169164883
Sri Lanka,38,2371.0,166.0,21273,2.3,2537.0,21273000,10.811827198796596,6.543161214032321,93.45683878596768
Sénégal,195,2289.0,164.0,14133,1.9,2453.0,14133000,13.443713295124883,6.685690990623725,93.31430900937627
Tchad,39,1991.0,118.0,12825,4.9,2109.0,12825000,38.20662768031189,5.59506875296349,94.4049312470365
Thaïlande,216,2434.0,351.0,67011,5.6,2785.0,67011000,8.356836937219263,12.603231597845602,87.39676840215441
Timor-Leste,176,1884.0,245.0,1133,0.3,2129.0,1133000,26.478375992939103,11.507750117426022,88.49224988257399
Togo,217,2355.0,93.0,6817,1.3,2448.0,6817000,19.069972128502275,3.799019607843137,96.20098039215686
Tunisie,222,2971.0,378.0,10997,0.5,3349.0,10997000,4.546694553059925,11.286951328754851,88.71304867124515
Turkménistan,213,2152.0,684.0,5240,0.3,2836.0,5240000,5.7251908396946565,24.118476727785616,75.8815232722144
Venezuela (République bolivarienne du),236,2157.0,476.0,30405,1.9,2633.0,30405000,6.248972208518336,18.07823775161413,81.92176224838587
Viet Nam,237,2169.0,575.0,91680,10.4,2744.0,91680000,11.343804537521814,20.954810495626823,79.04518950437318
Yémen,249,2028.0,189.0,24407,7.2,2217.0,24407000,29.499733682959807,8.525033829499323,91.47496617050066
Zambie,251,1818.0,106.0,14539,7.0,1924.0,14539000,48.14636494944632,5.50935550935551,94.4906444906445
Zimbabwe,181,1935.0,178.0,14150,6.6,2113.0,14150000,46.64310954063604,8.424041646947469,91.57595835305253
Égypte,59,3188.0,330.0,82056,3.9,3518.0,82056000,4.752851711026616,9.38032973280273,90.61967026719728
Émirats arabes unis,225,2718.0,557.0,9346,0.4,3275.0,9346000,4.279905842071474,17.00763358778626,82.99236641221374
